ep_id,podc_id,ep_title,ep_audio_lenth,ep_pub_date
28ac6176998a4166af5c55eaa3dcc710        ,d41b48d089cb41f2b918a4609134252d        ,"Ontario Morning Podcast - Friday December 1, 2017                     ",2533,2017-12-01
5a22373542774a3cb183013af70ff861        ,d0eeab85e81c41c18f391086a9af717d        ,Ask Jeff                                                              ,3600,2017-12-01
81f2bc4731194a3d815960612cdc15c0        ,d0eeab85e81c41c18f391086a9af717d        ,The Instruction Before & the Compassion After Jericho                 ,2160,2017-12-01
1644c8409946409396f7b826589a73e9        ,d0eeab85e81c41c18f391086a9af717d        ,Wise men still come to Jesus                                          ,2340,2017-12-01
8f7a56cd03dc4f098c9271a3938c57af        ,d0eeab85e81c41c18f391086a9af717d        ,Boasting & Bragging neither Beautiful nor Blessed                     ,2640,2017-12-01
0e7e0a46ee1f431c9edce9baf1a2ce8b        ,d0eeab85e81c41c18f391086a9af717d        ,Will You Have a Refuge When You Die?                                  ,3000,2017-12-01
029626e4830442508387a6e31ca37409        ,d0eeab85e81c41c18f391086a9af717d        ,La Vida Cristiana (Parte 6)                                           ,3480,2017-12-01
af3dcb8948f741249f0552d103e22d76        ,d0eeab85e81c41c18f391086a9af717d        ,Five Fold Ministry 7 (Broadcast)                                      ,6180,2017-12-01
89de4b69f62644098ffc1d94f136e9d8        ,d0eeab85e81c41c18f391086a9af717d        ,Solus Christus: In Christ Alone                                       ,1740,2017-12-01
5e15b1380c6340a08dad4b299eda9b0f        ,d0eeab85e81c41c18f391086a9af717d        ,Grace for an Overburdened One                                         ,3660,2017-12-01
7afa9eb5b56f45cab4b10f91ee2cc037        ,d0eeab85e81c41c18f391086a9af717d        ,Doing God's Work In A Godly Way                                       ,2460,2017-12-01
c9adf92663774b6fab3ea316a2c54d99        ,f951d04f29a64614af852884fb6baf54        ,Late Debate: Darren Chester and Tanya Plibersek                       ,1013,2017-12-01
4752576fcbf64879a90dda7bcf2935fc        ,f951d04f29a64614af852884fb6baf54        ,Shearer makes her mark on traditionally male-dominated industry       ,290,2017-12-01
